KSP036 Khomani 5
KSP037 Khomani 6
KSP038 Khomani 7
KSP039 Khomani 8
KSP040 Khomani 9
KSP041 Khomani 10
KSP042 Khomani 11
KSP043 Khomani 12
KSP044 Khomani 13
KSP045 Khomani 14
KSP046 Khomani 15
KSP047 Khomani 16
KSP048 Khomani 17
KSP049 Khomani 18
KSP050 Khomani 19
KSP051 Karretjie 20
KSP052 Karretjie 21
KSP053 Karretjie 22
KSP054 Karretjie 23
KSP055 Karretjie 24
KSP056 Karretjie 25
KSP057 Karretjie 26
KSP058 Karretjie 27
KSP059 Karretjie 28
KSP060 Karretjie 29
KSP061 Karretjie 30
KSP062 Karretjie 31
KSP063 Karretjie 32
KSP064 Karretjie 33
KSP065 Karretjie 34
KSP066 Karretjie 35
KSP067 Karretjie 36
KSP068 Karretjie 37
KSP069 Karretjie 38
KSP070 Karretjie 39
KSP071 Khwe 40
KSP072 Khwe 41
KSP073 Khwe 42
KSP074 Khwe 43
KSP075 Khwe 44
KSP076 Khwe 45
KSP077 Khwe 46
KSP078 Khwe 47
KSP079 Khwe 48
KSP080 Khwe 49
KSP081 Khwe 50
KSP082 Khwe 51
KSP083 Khwe 52
KSP085 Khwe 53
KSP086 Khwe 54
KSP087 Khwe 55
KSP088 GuiGhanaKgal 56
KSP089 GuiGhanaKgal 57
KSP091 GuiGhanaKgal 58
KSP092 GuiGhanaKgal 59
KSP094 GuiGhanaKgal 60
KSP095 GuiGhanaKgal 61
KSP096 GuiGhanaKgal 62
KSP097 GuiGhanaKgal 63
KSP098 GuiGhanaKgal 64
KSP099 GuiGhanaKgal 65
KSP102 Juhoansi 66
KSP103 Juhoansi 67
KSP104 Juhoansi 68
KSP105 Juhoansi 69
KSP106 Juhoansi 70
KSP107 Juhoansi 71
KSP108 Juhoansi 72
KSP110 Juhoansi 73
KSP111 Juhoansi 74
KSP112 Juhoansi 75
KSP114 Juhoansi 76
KSP115 Juhoansi 77
KSP120 Juhoansi 78
KSP121 Juhoansi 79
KSP122 Nama 80
KSP123 Nama 81
KSP124 Nama 82
KSP125 Nama 83
KSP126 Nama 84
KSP127 Nama 85
KSP128 Nama 86
KSP129 Nama 87
KSP130 Nama 88
KSP131 Nama 89
KSP132 Nama 90
KSP133 Nama 91
KSP134 Nama 92
KSP135 Nama 93
KSP136 Nama 94
KSP137 Nama 95
KSP138 Nama 96
KSP139 Nama 97
KSP140 Nama 98
KSP141 Xun 99
KSP142 Xun 100
KSP144 Xun 101
KSP145 Xun 102
KSP146 Xun 103
KSP147 Xun 104
KSP148 Xun 105
KSP149 Xun 106
KSP150 Xun 107
KSP151 Xun 108
KSP152 Xun 109
KSP153 Xun 110
KSP154 Xun 111
KSP155 Xun 112
KSP156 Xun 113
KSP157 Xun 114
KSP158 Xun 115
KSP159 Xun 116
KSP160 Xun 117
KSP165 Khwe 118
